"language"	"project"	"country"	"pageviews_percentage"
"Afar"	"aa.wikibooks.org"	"Angola"	0.01
"Afar"	"aa.wikibooks.org"	"Armenia"	0.01
"Afar"	"aa.wikibooks.org"	"Belgium"	0.01
"Afar"	"aa.wikibooks.org"	"Canada"	0.08
"Afar"	"aa.wikibooks.org"	"China"	0.03
"Afar"	"aa.wikibooks.org"	"France"	0.02
"Afar"	"aa.wikibooks.org"	"Luxembourg"	0.01
"Afar"	"aa.wikibooks.org"	"Netherlands"	0.01
"Afar"	"aa.wikibooks.org"	"Poland"	0.01
"Afar"	"aa.wikibooks.org"	"Republic of Korea"	0.02
"Afar"	"aa.wikibooks.org"	"Russia"	0.06
"Afar"	"aa.wikibooks.org"	"Spain"	0.01
"Afar"	"aa.wikibooks.org"	"Sudan"	0.01
"Afar"	"aa.wikibooks.org"	"Sweden"	0.01
"Afar"	"aa.wikibooks.org"	"Ukraine"	0.01
"Afar"	"aa.wikibooks.org"	"United States"	0.56
"Afar"	"aa.wikibooks.org"	"Vietnam"	0.11
"Afar"	"aa.wikipedia.org"	"Canada"	0.12
"Afar"	"aa.wikipedia.org"	"China"	0.09
"Afar"	"aa.wikipedia.org"	"Finland"	0.01
"Afar"	"aa.wikipedia.org"	"France"	0.01
"Afar"	"aa.wikipedia.org"	"Germany"	0.01
"Afar"	"aa.wikipedia.org"	"Greece"	0.01
"Afar"	"aa.wikipedia.org"	"India"	0.02
"Afar"	"aa.wikipedia.org"	"Iran"	0.01
"Afar"	"aa.wikipedia.org"	"Italy"	0.01
"Afar"	"aa.wikipedia.org"	"Japan"	0.01
"Afar"	"aa.wikipedia.org"	"Netherlands"	0.03
"Afar"	"aa.wikipedia.org"	"Poland"	0.01
"Afar"	"aa.wikipedia.org"	"Republic of Korea"	0.01
"Afar"	"aa.wikipedia.org"	"Romania"	0.01
"Afar"	"aa.wikipedia.org"	"Russia"	0.01
"Afar"	"aa.wikipedia.org"	"Saudi Arabia"	0.01
"Afar"	"aa.wikipedia.org"	"Sudan"	0.01
"Afar"	"aa.wikipedia.org"	"United Arab Emirates"	0.01
"Afar"	"aa.wikipedia.org"	"United Kingdom"	0.01
"Afar"	"aa.wikipedia.org"	"United States"	0.54
"Afar"	"aa.wikipedia.org"	"Other"	0.07
"Afar"	"aa.wiktionary.org"	"Canada"	0.12
"Afar"	"aa.wiktionary.org"	"China"	0.08
"Afar"	"aa.wiktionary.org"	"India"	0.02
"Afar"	"aa.wiktionary.org"	"Netherlands"	0.02
"Afar"	"aa.wiktionary.org"	"Portugal"	0.12
"Afar"	"aa.wiktionary.org"	"Russia"	0.02
"Afar"	"aa.wiktionary.org"	"Senegal"	0.02
"Afar"	"aa.wiktionary.org"	"United Kingdom"	0.02
"Afar"	"aa.wiktionary.org"	"United States"	0.61
"Abkhazian"	"ab.wikipedia.org"	"Brazil"	0.01
"Abkhazian"	"ab.wikipedia.org"	"Canada"	0.02
"Abkhazian"	"ab.wikipedia.org"	"China"	0.03
"Abkhazian"	"ab.wikipedia.org"	"France"	0.01
"Abkhazian"	"ab.wikipedia.org"	"Germany"	0.03
"Abkhazian"	"ab.wikipedia.org"	"Hong Kong"	0.04
"Abkhazian"	"ab.wikipedia.org"	"India"	0.01
"Abkhazian"	"ab.wikipedia.org"	"Israel"	0.01
"Abkhazian"	"ab.wikipedia.org"	"Mexico"	0.01
"Abkhazian"	"ab.wikipedia.org"	"Netherlands"	0.02
"Abkhazian"	"ab.wikipedia.org"	"Poland"	0.03
"Abkhazian"	"ab.wikipedia.org"	"Republic of Korea"	0.01
"Abkhazian"	"ab.wikipedia.org"	"Romania"	0.03
"Abkhazian"	"ab.wikipedia.org"	"Russia"	0.02
"Abkhazian"	"ab.wikipedia.org"	"Spain"	0.01
"Abkhazian"	"ab.wikipedia.org"	"Ukraine"	0.01
"Abkhazian"	"ab.wikipedia.org"	"United Kingdom"	0.01
"Abkhazian"	"ab.wikipedia.org"	"United States"	0.64
"Abkhazian"	"ab.wikipedia.org"	"Other"	0.08
"Abkhazian"	"ab.wiktionary.org"	"Bulgaria"	0.03
"Abkhazian"	"ab.wiktionary.org"	"Canada"	0.03
"Abkhazian"	"ab.wiktionary.org"	"China"	0.16
"Abkhazian"	"ab.wiktionary.org"	"Italy"	0.03
"Abkhazian"	"ab.wiktionary.org"	"Russia"	0.03
"Abkhazian"	"ab.wiktionary.org"	"Sweden"	0.55
"Abkhazian"	"ab.wiktionary.org"	"United States"	0.16
"Achinese"	"ace.wikipedia.org"	"Canada"	0.01
"Achinese"	"ace.wikipedia.org"	"China"	0.12
"Achinese"	"ace.wikipedia.org"	"France"	0.01
"Achinese"	"ace.wikipedia.org"	"Germany"	0.31
"Achinese"	"ace.wikipedia.org"	"Indonesia"	0.02
"Achinese"	"ace.wikipedia.org"	"Netherlands"	0.01
"Achinese"	"ace.wikipedia.org"	"Poland"	0.01
"Achinese"	"ace.wikipedia.org"	"Romania"	0.02
"Achinese"	"ace.wikipedia.org"	"Russia"	0.01
"Achinese"	"ace.wikipedia.org"	"United Kingdom"	0.05
"Achinese"	"ace.wikipedia.org"	"United States"	0.36
"Achinese"	"ace.wikipedia.org"	"Other"	0.08
"Afrikaans"	"af.wikibooks.org"	"Brazil"	0.02
"Afrikaans"	"af.wikibooks.org"	"Canada"	0.06
"Afrikaans"	"af.wikibooks.org"	"China"	0.06
"Afrikaans"	"af.wikibooks.org"	"France"	0.02
"Afrikaans"	"af.wikibooks.org"	"Germany"	0.03
"Afrikaans"	"af.wikibooks.org"	"India"	0.02
"Afrikaans"	"af.wikibooks.org"	"Netherlands"	0.03
"Afrikaans"	"af.wikibooks.org"	"Poland"	0.01
"Afrikaans"	"af.wikibooks.org"	"South Africa"	0.06
"Afrikaans"	"af.wikibooks.org"	"Sweden"	0.01
"Afrikaans"	"af.wikibooks.org"	"Switzerland"	0.01
"Afrikaans"	"af.wikibooks.org"	"United Kingdom"	0.01
"Afrikaans"	"af.wikibooks.org"	"United States"	0.33
"Afrikaans"	"af.wikibooks.org"	"Vietnam"	0.33
"Afrikaans"	"af.wikipedia.org"	"China"	0.02
"Afrikaans"	"af.wikipedia.org"	"France"	0.01
"Afrikaans"	"af.wikipedia.org"	"Germany"	0.03
"Afrikaans"	"af.wikipedia.org"	"Japan"	0.01
"Afrikaans"	"af.wikipedia.org"	"Netherlands"	0.01
"Afrikaans"	"af.wikipedia.org"	"Poland"	0.01
"Afrikaans"	"af.wikipedia.org"	"Romania"	0.01
"Afrikaans"	"af.wikipedia.org"	"Slovakia"	0.01
"Afrikaans"	"af.wikipedia.org"	"South Africa"	0.16
"Afrikaans"	"af.wikipedia.org"	"United Kingdom"	0.01
"Afrikaans"	"af.wikipedia.org"	"United States"	0.66
"Afrikaans"	"af.wikipedia.org"	"Other"	0.08
"Afrikaans"	"af.wikiquote.org"	"Cambodia"	0.26
"Afrikaans"	"af.wikiquote.org"	"Canada"	0.03
"Afrikaans"	"af.wikiquote.org"	"China"	0.04
"Afrikaans"	"af.wikiquote.org"	"France"	0.01
"Afrikaans"	"af.wikiquote.org"	"Germany"	0.01
"Afrikaans"	"af.wikiquote.org"	"Italy"	0.01
"Afrikaans"	"af.wikiquote.org"	"Netherlands"	0.02
"Afrikaans"	"af.wikiquote.org"	"Poland"	0.02
"Afrikaans"	"af.wikiquote.org"	"Republic of Korea"	0.01
"Afrikaans"	"af.wikiquote.org"	"Russia"	0.01
"Afrikaans"	"af.wikiquote.org"	"South Africa"	0.03
"Afrikaans"	"af.wikiquote.org"	"Spain"	0.01
"Afrikaans"	"af.wikiquote.org"	"Ukraine"	0.01
"Afrikaans"	"af.wikiquote.org"	"United Kingdom"	0.01
"Afrikaans"	"af.wikiquote.org"	"United States"	0.16
"Afrikaans"	"af.wikiquote.org"	"Vietnam"	0.35
"Afrikaans"	"af.wikiquote.org"	"Other"	0.02
"Afrikaans"	"af.wiktionary.org"	"Canada"	0.01
"Afrikaans"	"af.wiktionary.org"	"China"	0.02
"Afrikaans"	"af.wiktionary.org"	"France"	0.01
"Afrikaans"	"af.wiktionary.org"	"Germany"	0.01
"Afrikaans"	"af.wiktionary.org"	"India"	0.01
"Afrikaans"	"af.wiktionary.org"	"Japan"	0.01
"Afrikaans"	"af.wiktionary.org"	"Namibia"	0.01
"Afrikaans"	"af.wiktionary.org"	"Netherlands"	0.23
"Afrikaans"	"af.wiktionary.org"	"Poland"	0.01
"Afrikaans"	"af.wiktionary.org"	"Republic of Korea"	0.02
"Afrikaans"	"af.wiktionary.org"	"Russia"	0.01
"Afrikaans"	"af.wiktionary.org"	"South Africa"	0.2
"Afrikaans"	"af.wiktionary.org"	"Thailand"	0.01
"Afrikaans"	"af.wiktionary.org"	"United Kingdom"	0.01
"Afrikaans"	"af.wiktionary.org"	"United States"	0.36
"Afrikaans"	"af.wiktionary.org"	"Vietnam"	0.03
"Afrikaans"	"af.wiktionary.org"	"Other"	0.05
"Akan"	"ak.wikibooks.org"	"China"	0.09
"Akan"	"ak.wikibooks.org"	"France"	0.05
"Akan"	"ak.wikibooks.org"	"Macao"	0.05
"Akan"	"ak.wikibooks.org"	"Russia"	0.09
"Akan"	"ak.wikibooks.org"	"United States"	0.05
"Akan"	"ak.wikibooks.org"	"Vietnam"	0.68
"Akan"	"ak.wikipedia.org"	"Canada"	0.04
"Akan"	"ak.wikipedia.org"	"China"	0.15
"Akan"	"ak.wikipedia.org"	"France"	0.03
"Akan"	"ak.wikipedia.org"	"Germany"	0.06
"Akan"	"ak.wikipedia.org"	"Ghana"	0.01
"Akan"	"ak.wikipedia.org"	"India"	0.01
"Akan"	"ak.wikipedia.org"	"Indonesia"	0.01
"Akan"	"ak.wikipedia.org"	"Netherlands"	0.02
"Akan"	"ak.wikipedia.org"	"Poland"	0.02
"Akan"	"ak.wikipedia.org"	"Republic of Korea"	0.01
"Akan"	"ak.wikipedia.org"	"Republic of Lithuania"	0.01
"Akan"	"ak.wikipedia.org"	"Romania"	0.02
"Akan"	"ak.wikipedia.org"	"Russia"	0.02
"Akan"	"ak.wikipedia.org"	"Sweden"	0.01
"Akan"	"ak.wikipedia.org"	"Thailand"	0.03
"Akan"	"ak.wikipedia.org"	"Turkey"	0.01
"Akan"	"ak.wikipedia.org"	"Ukraine"	0.02
"Akan"	"ak.wikipedia.org"	"United Kingdom"	0.02
"Akan"	"ak.wikipedia.org"	"United States"	0.42
"Akan"	"ak.wikipedia.org"	"Other"	0.1
"Akan"	"ak.wiktionary.org"	"France"	0.29
"Akan"	"ak.wiktionary.org"	"Sweden"	0.14
"Akan"	"ak.wiktionary.org"	"United States"	0.57
"Alemannisch"	"als.wikibooks.org"	"Canada"	0.16
"Alemannisch"	"als.wikibooks.org"	"China"	0.08
"Alemannisch"	"als.wikibooks.org"	"Republic of Korea"	0.02
"Alemannisch"	"als.wikibooks.org"	"Romania"	0.02
"Alemannisch"	"als.wikibooks.org"	"Spain"	0.02
"Alemannisch"	"als.wikibooks.org"	"Ukraine"	0.02
"Alemannisch"	"als.wikibooks.org"	"United States"	0.47
"Alemannisch"	"als.wikibooks.org"	"Vietnam"	0.23
"Alemannisch"	"als.wikipedia.org"	"Austria"	0.01
"Alemannisch"	"als.wikipedia.org"	"Canada"	0.01
"Alemannisch"	"als.wikipedia.org"	"China"	0.04
"Alemannisch"	"als.wikipedia.org"	"France"	0.02
"Alemannisch"	"als.wikipedia.org"	"Germany"	0.16
"Alemannisch"	"als.wikipedia.org"	"India"	0.01
"Alemannisch"	"als.wikipedia.org"	"Israel"	0.01
"Alemannisch"	"als.wikipedia.org"	"Italy"	0.01
"Alemannisch"	"als.wikipedia.org"	"Japan"	0.01
"Alemannisch"	"als.wikipedia.org"	"Mexico"	0.01
"Alemannisch"	"als.wikipedia.org"	"Netherlands"	0.01
"Alemannisch"	"als.wikipedia.org"	"Poland"	0.02
"Alemannisch"	"als.wikipedia.org"	"Republic of Korea"	0.01
"Alemannisch"	"als.wikipedia.org"	"Romania"	0.04
"Alemannisch"	"als.wikipedia.org"	"Russia"	0.01
"Alemannisch"	"als.wikipedia.org"	"Spain"	0.01
"Alemannisch"	"als.wikipedia.org"	"Switzerland"	0.05
"Alemannisch"	"als.wikipedia.org"	"United Kingdom"	0.01
"Alemannisch"	"als.wikipedia.org"	"United States"	0.51
"Alemannisch"	"als.wikipedia.org"	"Other"	0.08
"Alemannisch"	"als.wikiquote.org"	"Canada"	0.09
"Alemannisch"	"als.wikiquote.org"	"China"	0.04
"Alemannisch"	"als.wikiquote.org"	"Finland"	0.01
"Alemannisch"	"als.wikiquote.org"	"France"	0.01
"Alemannisch"	"als.wikiquote.org"	"Germany"	0.02
"Alemannisch"	"als.wikiquote.org"	"Ireland"	0.01
"Alemannisch"	"als.wikiquote.org"	"Poland"	0.01
"Alemannisch"	"als.wikiquote.org"	"Russia"	0.05
"Alemannisch"	"als.wikiquote.org"	"Sweden"	0.06
"Alemannisch"	"als.wikiquote.org"	"Switzerland"	0.04
"Alemannisch"	"als.wikiquote.org"	"United Kingdom"	0.01
"Alemannisch"	"als.wikiquote.org"	"United States"	0.44
"Alemannisch"	"als.wikiquote.org"	"Vietnam"	0.21
"Alemannisch"	"als.wiktionary.org"	"Canada"	0.16
"Alemannisch"	"als.wiktionary.org"	"France"	0.09
"Alemannisch"	"als.wiktionary.org"	"Italy"	0.03
"Alemannisch"	"als.wiktionary.org"	"Poland"	0.03
"Alemannisch"	"als.wiktionary.org"	"Russia"	0.09
"Alemannisch"	"als.wiktionary.org"	"United States"	0.59
"Amharic"	"am.wikipedia.org"	"Armenia"	0.01
"Amharic"	"am.wikipedia.org"	"Canada"	0.01
"Amharic"	"am.wikipedia.org"	"China"	0.02
"Amharic"	"am.wikipedia.org"	"Ethiopia"	0.32
"Amharic"	"am.wikipedia.org"	"France"	0.02
"Amharic"	"am.wikipedia.org"	"Germany"	0.03
"Amharic"	"am.wikipedia.org"	"Israel"	0.01
"Amharic"	"am.wikipedia.org"	"Italy"	0.01
"Amharic"	"am.wikipedia.org"	"Japan"	0.02
"Amharic"	"am.wikipedia.org"	"Mexico"	0.01
"Amharic"	"am.wikipedia.org"	"Netherlands"	0.01
"Amharic"	"am.wikipedia.org"	"Poland"	0.01
"Amharic"	"am.wikipedia.org"	"Republic of Korea"	0.01
"Amharic"	"am.wikipedia.org"	"Romania"	0.02
"Amharic"	"am.wikipedia.org"	"Russia"	0.01
"Amharic"	"am.wikipedia.org"	"Saudi Arabia"	0.01
"Amharic"	"am.wikipedia.org"	"South Africa"	0.01
"Amharic"	"am.wikipedia.org"	"Sudan"	0.02
"Amharic"	"am.wikipedia.org"	"Sweden"	0.01
"Amharic"	"am.wikipedia.org"	"United Kingdom"	0.01
"Amharic"	"am.wikipedia.org"	"United States"	0.35
"Amharic"	"am.wikipedia.org"	"Other"	0.1
"Amharic"	"am.wikiquote.org"	"Canada"	0.06
"Amharic"	"am.wikiquote.org"	"China"	0.04
"Amharic"	"am.wikiquote.org"	"Egypt"	0.01
"Amharic"	"am.wikiquote.org"	"Germany"	0.02
"Amharic"	"am.wikiquote.org"	"India"	0.01
"Amharic"	"am.wikiquote.org"	"Netherlands"	0.02
"Amharic"	"am.wikiquote.org"	"Republic of Korea"	0.02
"Amharic"	"am.wikiquote.org"	"Spain"	0.01
"Amharic"	"am.wikiquote.org"	"United States"	0.26
"Amharic"	"am.wikiquote.org"	"Vietnam"	0.56
"Amharic"	"am.wiktionary.org"	"Cambodia"	0.16
"Amharic"	"am.wiktionary.org"	"Canada"	0.04
"Amharic"	"am.wiktionary.org"	"China"	0.06
"Amharic"	"am.wiktionary.org"	"Ethiopia"	0.04
"Amharic"	"am.wiktionary.org"	"France"	0.03
"Amharic"	"am.wiktionary.org"	"Germany"	0.02
"Amharic"	"am.wiktionary.org"	"India"	0.01
"Amharic"	"am.wiktionary.org"	"Indonesia"	0.01
"Amharic"	"am.wiktionary.org"	"Israel"	0.01
"Amharic"	"am.wiktionary.org"	"Japan"	0.06
"Amharic"	"am.wiktionary.org"	"Netherlands"	0.02
"Amharic"	"am.wiktionary.org"	"Poland"	0.02
"Amharic"	"am.wiktionary.org"	"Republic of Korea"	0.03
"Amharic"	"am.wiktionary.org"	"Russia"	0.02
