"url"	"lang_local_name"	"pageviews"	"country"
"aa.wikibooks"	"Afar"	1	"Angola"
"aa.wikibooks"	"Afar"	1	"Armenia"
"aa.wikibooks"	"Afar"	1	"Belgium"
"aa.wikibooks"	"Afar"	8	"Canada"
"aa.wikibooks"	"Afar"	3	"China"
"aa.wikibooks"	"Afar"	2	"France"
"aa.wikibooks"	"Afar"	1	"Luxembourg"
"aa.wikibooks"	"Afar"	1	"Netherlands"
"aa.wikibooks"	"Afar"	1	"Poland"
"aa.wikibooks"	"Afar"	2	"Republic of Korea"
"aa.wikibooks"	"Afar"	6	"Russia"
"aa.wikibooks"	"Afar"	1	"Spain"
"aa.wikibooks"	"Afar"	1	"Sudan"
"aa.wikibooks"	"Afar"	1	"Sweden"
"aa.wikibooks"	"Afar"	1	"Ukraine"
"aa.wikibooks"	"Afar"	56	"United States"
"aa.wikibooks"	"Afar"	11	"Vietnam"
"aa.wikipedia"	"Afar"	12	"Canada"
"aa.wikipedia"	"Afar"	9	"China"
"aa.wikipedia"	"Afar"	1	"Finland"
"aa.wikipedia"	"Afar"	1	"France"
"aa.wikipedia"	"Afar"	1	"Germany"
"aa.wikipedia"	"Afar"	1	"Greece"
"aa.wikipedia"	"Afar"	2	"India"
"aa.wikipedia"	"Afar"	1	"Iran"
"aa.wikipedia"	"Afar"	1	"Italy"
"aa.wikipedia"	"Afar"	1	"Japan"
"aa.wikipedia"	"Afar"	3	"Netherlands"
"aa.wikipedia"	"Afar"	1	"Poland"
"aa.wikipedia"	"Afar"	1	"Republic of Korea"
"aa.wikipedia"	"Afar"	1	"Romania"
"aa.wikipedia"	"Afar"	1	"Russia"
"aa.wikipedia"	"Afar"	1	"Saudi Arabia"
"aa.wikipedia"	"Afar"	1	"Sudan"
"aa.wikipedia"	"Afar"	1	"United Arab Emirates"
"aa.wikipedia"	"Afar"	1	"United Kingdom"
"aa.wikipedia"	"Afar"	54	"United States"
"aa.wikipedia"	"Afar"	7	"Other"
"aa.wiktionary"	"Afar"	12	"Canada"
"aa.wiktionary"	"Afar"	8	"China"
"aa.wiktionary"	"Afar"	2	"India"
"aa.wiktionary"	"Afar"	2	"Netherlands"
"aa.wiktionary"	"Afar"	12	"Portugal"
"aa.wiktionary"	"Afar"	2	"Russia"
"aa.wiktionary"	"Afar"	2	"Senegal"
"aa.wiktionary"	"Afar"	2	"United Kingdom"
"aa.wiktionary"	"Afar"	61	"United States"
"ab.wikipedia"	"Abkhazian"	1	"Brazil"
"ab.wikipedia"	"Abkhazian"	2	"Canada"
"ab.wikipedia"	"Abkhazian"	3	"China"
"ab.wikipedia"	"Abkhazian"	1	"France"
"ab.wikipedia"	"Abkhazian"	3	"Germany"
"ab.wikipedia"	"Abkhazian"	4	"Hong Kong"
"ab.wikipedia"	"Abkhazian"	1	"India"
"ab.wikipedia"	"Abkhazian"	1	"Israel"
"ab.wikipedia"	"Abkhazian"	1	"Mexico"
"ab.wikipedia"	"Abkhazian"	2	"Netherlands"
"ab.wikipedia"	"Abkhazian"	3	"Poland"
"ab.wikipedia"	"Abkhazian"	1	"Republic of Korea"
"ab.wikipedia"	"Abkhazian"	3	"Romania"
"ab.wikipedia"	"Abkhazian"	2	"Russia"
"ab.wikipedia"	"Abkhazian"	1	"Spain"
"ab.wikipedia"	"Abkhazian"	1	"Ukraine"
"ab.wikipedia"	"Abkhazian"	1	"United Kingdom"
"ab.wikipedia"	"Abkhazian"	64	"United States"
"ab.wikipedia"	"Abkhazian"	8	"Other"
"ab.wiktionary"	"Abkhazian"	3	"Bulgaria"
"ab.wiktionary"	"Abkhazian"	3	"Canada"
"ab.wiktionary"	"Abkhazian"	16	"China"
"ab.wiktionary"	"Abkhazian"	3	"Italy"
"ab.wiktionary"	"Abkhazian"	3	"Russia"
"ab.wiktionary"	"Abkhazian"	55	"Sweden"
"ab.wiktionary"	"Abkhazian"	16	"United States"
"ace.wikipedia"	"Achinese"	1	"Canada"
"ace.wikipedia"	"Achinese"	12	"China"
"ace.wikipedia"	"Achinese"	1	"France"
"ace.wikipedia"	"Achinese"	31	"Germany"
"ace.wikipedia"	"Achinese"	2	"Indonesia"
"ace.wikipedia"	"Achinese"	1	"Netherlands"
"ace.wikipedia"	"Achinese"	1	"Poland"
"ace.wikipedia"	"Achinese"	2	"Romania"
"ace.wikipedia"	"Achinese"	1	"Russia"
"ace.wikipedia"	"Achinese"	5	"United Kingdom"
"ace.wikipedia"	"Achinese"	36	"United States"
"ace.wikipedia"	"Achinese"	8	"Other"
