"country"	"language"	"project"	"pageviews_percentage"	"country_iso"
"Afghanistan"	"Persian"	"fa.wikiquote.org"	1	"AF"
"Afghanistan"	"Persian"	"fa.wikipedia.org"	1	"AF"
"Afghanistan"	"Pashto"	"ps.wikibooks.org"	2	"AF"
"Afghanistan"	"Persian"	"fa.wikibooks.org"	1	"AF"
"Afghanistan"	"Persian"	"fa.wikisource.org"	2	"AF"
"Afghanistan"	"Uyghur"	"ug.wiktionary.org"	1	"AF"
"Afghanistan"	"Oromo"	"om.wiktionary.org"	1	"AF"
"Afghanistan"	"Pashto"	"ps.wiktionary.org"	1	"AF"
"Afghanistan"	"Western Punjabi"	"pnb.wiktionary.org"	1	"AF"
"Afghanistan"	"Persian"	"fa.wiktionary.org"	1	"AF"
"Afghanistan"	"Persian"	"fa.wikinews.org"	1	"AF"
"Afghanistan"	"Pashto"	"ps.wikipedia.org"	17	"AF"
"Albania"	"Albanian"	"sq.wiktionary.org"	26	"AL"
"Albania"	"Kashubian"	"csb.wiktionary.org"	1	"AL"
"Albania"	"Icelandic"	"is.wikisource.org"	1	"AL"
"Albania"	"Albanian"	"sq.wikinews.org"	2	"AL"
"Albania"	"Albanian"	"sq.wikibooks.org"	32	"AL"
"Albania"	"Bosnian"	"bs.wikisource.org"	1	"AL"
"Albania"	"Albanian"	"sq.wikipedia.org"	57	"AL"
"Albania"	"Albanian"	"sq.wikiquote.org"	13	"AL"
"Algeria"	"Aromanian"	"roa-rup.wiktionary.org"	1	"DZ"
"Algeria"	"French"	"fr.wikipedia.org"	2	"DZ"
"Algeria"	"French"	"fr.wiktionary.org"	2	"DZ"
"Algeria"	"French"	"fr.wikiversity.org"	5	"DZ"
"Algeria"	"Kashmiri"	"ks.wikipedia.org"	1	"DZ"
"Algeria"	"Simple English"	"simple.wikiquote.org"	1	"DZ"
"Algeria"	"French"	"fr.wikisource.org"	1	"DZ"
"Algeria"	"French"	"fr.wikivoyage.org"	1	"DZ"
"Algeria"	"Arabic"	"ar.wiktionary.org"	4	"DZ"
"Algeria"	"Arabic"	"ar.wikinews.org"	3	"DZ"
"Algeria"	"Egyptian Spoken Arabic"	"arz.wikipedia.org"	5	"DZ"
"Algeria"	"Kabyle"	"kab.wikipedia.org"	5	"DZ"
"Algeria"	"English"	"en.wikisource.org"	1	"DZ"
"Algeria"	"French"	"fr.wikinews.org"	1	"DZ"
"Algeria"	"Hausa"	"ha.wikipedia.org"	1	"DZ"
"Algeria"	"Old English"	"ang.wikipedia.org"	1	"DZ"
"Algeria"	"Arabic"	"ar.wikisource.org"	7	"DZ"
"Algeria"	"Pashto"	"ps.wiktionary.org"	1	"DZ"
"Algeria"	"Arabic"	"ar.wikibooks.org"	12	"DZ"
"Algeria"	"Arabic"	"ar.wikiquote.org"	6	"DZ"
"Algeria"	"Faroese"	"fo.wiktionary.org"	1	"DZ"
"Algeria"	"Arabic"	"ar.wikipedia.org"	7	"DZ"
"Algeria"	"Bulgarian"	"bg.wikinews.org"	1	"DZ"
"Algeria"	"Western Punjabi"	"pnb.wikipedia.org"	1	"DZ"
"Algeria"	"Nepali"	"ne.wiktionary.org"	1	"DZ"
"Algeria"	"French"	"fr.wikibooks.org"	4	"DZ"
"Algeria"	"French"	"fr.wikiquote.org"	1	"DZ"
"Algeria"	"Arabic"	"ar.wikiversity.org"	8	"DZ"
"Angola"	"Portuguese"	"pt.wikinews.org"	3	"AO"
"Angola"	"Afar"	"aa.wikibooks.org"	1	"AO"
"Angola"	"Portuguese"	"pt.wiktionary.org"	1	"AO"
"Angola"	"Portuguese"	"pt.wikisource.org"	1	"AO"
"Angola"	"Samoan"	"sm.wiktionary.org"	1	"AO"
"Angola"	"Portuguese"	"pt.wikiversity.org"	2	"AO"
"Angola"	"Portuguese"	"pt.wikivoyage.org"	1	"AO"
"Angola"	"Portuguese"	"pt.wikibooks.org"	2	"AO"
"Angola"	"Portuguese"	"pt.wikipedia.org"	1	"AO"
"Angola"	"Portuguese"	"pt.wikiquote.org"	1	"AO"
"Argentina"	"Hindi"	"hi.wikiquote.org"	1	"AR"
"Argentina"	"Spanish"	"es.wikiquote.org"	10	"AR"
"Argentina"	"Chinese (Min Nan)"	"zh-min-nan.wikibooks.org"	1	"AR"
"Argentina"	"Belarusian"	"be.wiktionary.org"	1	"AR"
"Argentina"	"Tatar"	"tt.wikiquote.org"	2	"AR"
"Argentina"	"Spanish"	"es.wikisource.org"	9	"AR"
"Argentina"	"Aymara"	"ay.wikibooks.org"	2	"AR"
"Argentina"	"Asturian"	"ast.wikipedia.org"	1	"AR"
"Argentina"	"Guarani"	"gn.wikipedia.org"	1	"AR"
"Argentina"	"Spanish"	"es.wikinews.org"	4	"AR"
"Argentina"	"Kashubian"	"csb.wiktionary.org"	1	"AR"
"Argentina"	"Sinhala"	"si.wiktionary.org"	1	"AR"
"Argentina"	"Chamorro"	"ch.wikipedia.org"	1	"AR"
"Argentina"	"Spanish"	"es.wikiversity.org"	5	"AR"
"Argentina"	"Interlingua"	"ia.wikipedia.org"	1	"AR"
"Argentina"	"Tok Pisin"	"tpi.wikipedia.org"	1	"AR"
